ts_code,trade_date,open,high,low,close,vol,amount
002594.SZ,20241231,285.0,286.5,282.0,282.66,77619.76,2201903.44
002594.SZ,20241230,287.2,289.5,283.33,284.99,82946.81,2371257.354
002594.SZ,20241227,286.8,287.55,283.0,286.28,78683.19,2249658.028
002594.SZ,20241226,285.92,286.8,284.0,284.86,67604.55,1928774.414
002594.SZ,20241225,288.73,291.36,285.7,285.92,83391.03,2405517.152
002594.SZ,20241224,279.89,288.51,279.13,288.42,142287.38,4072070.488
002594.SZ,20241223,280.5,283.29,278.88,280.7,81515.96,2291275.853
002594.SZ,20241220,285.01,286.75,280.2,280.2,96707.11,2730666.917
002594.SZ,20241219,281.81,286.94,280.0,285.4,86728.52,2465377.214
002594.SZ,20241218,283.25,286.88,282.63,284.65,84106.38,2397657.885
002594.SZ,20241217,274.92,285.66,273.98,282.8,175682.07,4960329.886
002594.SZ,20241216,276.52,278.18,273.58,274.95,71490.26,1967314.539
002594.SZ,20241213,281.33,281.62,276.42,276.51,112358.63,3130392.699
002594.SZ,20241212,280.1,283.68,278.4,283.68,100133.95,2816818.035
002594.SZ,20241211,282.03,283.87,279.4,280.77,93359.88,2623997.226
002594.SZ,20241210,293.0,294.0,282.0,282.55,175929.15,5057037.511
002594.SZ,20241209,279.23,283.99,277.68,280.49,92152.68,2590143.544
002594.SZ,20241206,275.67,281.98,274.01,280.28,124698.4,3469413.045
002594.SZ,20241205,277.19,278.48,274.31,275.26,90267.71,2486214.937
002594.SZ,20241204,281.34,283.33,278.8,279.98,85012.86,2389151.937
002594.SZ,20241203,284.8,285.88,280.58,282.65,91449.71,2585320.048
002594.SZ,20241202,276.61,284.0,274.08,282.4,151357.21,4255616.768
002594.SZ,20241129,273.0,277.88,272.05,274.83,128004.6,3516186.179
002594.SZ,20241128,281.2,281.56,273.0,274.58,158589.22,4365779.157
002594.SZ,20241127,279.28,281.0,277.0,281.0,110002.81,3068303.752
002594.SZ,20241126,280.0,286.0,277.88,281.01,95206.45,2686423.189
002594.SZ,20241125,283.0,289.36,280.89,283.0,174533.15,4981714.332
002594.SZ,20241122,285.5,285.86,278.0,278.49,125141.78,3529973.029
002594.SZ,20241121,288.47,288.49,284.0,286.0,95532.94,2727230.001
002594.SZ,20241120,288.01,290.4,285.5,288.46,106016.93,3049973.686
002594.SZ,20241119,288.68,291.48,282.02,287.99,131946.69,3785016.71
002594.SZ,20241118,290.01,292.95,286.66,288.68,116205.95,3364288.894
002594.SZ,20241115,294.79,295.79,288.02,290.0,153235.94,4471450.174
002594.SZ,20241114,300.0,300.3,294.0,294.75,124582.9,3690676.831
002594.SZ,20241113,298.0,301.33,295.3,300.57,145115.79,4326957.544
002594.SZ,20241112,300.15,310.0,299.31,300.81,246557.46,7520312.654
002594.SZ,20241111,295.0,299.47,292.6,299.29,180859.3,5349190.917
002594.SZ,20241108,307.12,307.52,297.0,297.9,166715.72,5022195.686
002594.SZ,20241107,295.03,301.88,294.0,301.78,150675.92,4484370.172
002594.SZ,20241106,308.0,309.75,298.0,300.36,184861.2,5611830.834
002594.SZ,20241105,304.06,308.44,300.5,307.5,167819.98,5124245.709
002594.SZ,20241104,296.0,308.92,295.61,306.98,217318.89,6600399.617
002594.SZ,20241101,293.2,295.6,290.1,290.31,143040.86,4174457.395
