ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20241231,1525.4,1545.0,1522.01,1524.0,39354.45,6033540.366
600519.SH,20241230,1533.97,1543.96,1525.0,1525.0,25129.82,3849542.646
600519.SH,20241227,1528.9,1536.0,1519.5,1528.97,20759.32,3170191.445
600519.SH,20241226,1534.0,1538.78,1523.0,1527.79,18286.51,2798840.003
600519.SH,20241225,1538.8,1538.8,1526.1,1530.0,17123.39,2621061.878
600519.SH,20241224,1525.0,1544.0,1521.59,1538.82,22104.92,3394160.299
600519.SH,20241223,1523.0,1538.0,1517.0,1526.45,21602.69,3300971.424
600519.SH,20241220,1531.13,1541.8,1520.02,1522.0,28157.74,4307425.535
600519.SH,20241219,1565.14,1567.93,1550.33,1551.01,24809.32,3862602.665
600519.SH,20241218,1557.97,1577.0,1547.1,1571.5,41162.26,6440801.971
600519.SH,20241217,1525.99,1569.0,1521.01,1558.0,54171.63,8398945.449
600519.SH,20241216,1521.0,1529.0,1510.71,1527.2,32537.1,4945298.799
600519.SH,20241213,1550.01,1554.99,1518.88,1519.0,49511.97,7580908.315
600519.SH,20241212,1532.02,1566.0,1529.0,1565.8,41936.52,6510547.81
600519.SH,20241211,1540.0,1555.0,1530.98,1535.6,29671.12,4569662.604
600519.SH,20241210,1570.0,1579.73,1545.18,1546.59,60312.1,9421340.719
600519.SH,20241209,1522.02,1529.72,1513.2,1518.8,19799.86,3008173.586
600519.SH,20241206,1513.0,1538.9,1508.07,1521.01,32039.69,4883148.6
600519.SH,20241205,1510.86,1517.86,1510.0,1511.0,16141.47,2441318.387
600519.SH,20241204,1520.07,1523.66,1510.0,1520.0,23923.89,3626565.544
600519.SH,20241203,1524.0,1528.9,1516.08,1526.74,24806.62,3777197.199
600519.SH,20241202,1526.0,1529.99,1515.1,1525.0,26819.54,4086609.952
600519.SH,20241129,1517.0,1555.0,1513.21,1525.74,36088.1,5534035.503
600519.SH,20241128,1522.0,1524.99,1502.0,1518.0,23952.03,3627662.382
600519.SH,20241127,1509.0,1522.15,1505.0,1519.05,25934.17,3927607.772
600519.SH,20241126,1498.57,1518.88,1488.88,1509.0,25744.79,3876885.984
600519.SH,20241125,1511.0,1532.0,1496.67,1498.57,33185.56,5011136.234
600519.SH,20241122,1541.15,1547.77,1507.82,1507.82,33436.11,5107288.992
600519.SH,20241121,1543.87,1548.99,1532.0,1545.13,18261.79,2810933.515
600519.SH,20241120,1543.0,1553.97,1531.3,1544.81,21344.55,3292675.257
600519.SH,20241119,1565.0,1569.37,1525.0,1541.92,33266.43,5138831.155
600519.SH,20241118,1562.0,1575.99,1555.0,1559.0,27092.19,4237197.499
600519.SH,20241115,1569.0,1583.8,1553.0,1559.0,33761.12,5295326.892
600519.SH,20241114,1570.0,1594.45,1565.65,1573.8,29248.14,4617144.097
600519.SH,20241113,1568.0,1586.66,1561.28,1578.5,29125.26,4594445.032
600519.SH,20241112,1589.0,1623.0,1573.95,1577.2,49222.66,7844798.676
600519.SH,20241111,1590.0,1609.95,1567.19,1598.01,43853.65,6957095.385
600519.SH,20241108,1660.89,1667.11,1601.01,1609.97,60771.2,9885645.907
600519.SH,20241107,1562.46,1653.5,1562.3,1649.14,74738.72,12074951.757
600519.SH,20241106,1575.0,1588.99,1561.22,1571.0,37631.43,5916917.616
600519.SH,20241105,1540.0,1577.7,1536.01,1576.99,45640.47,7134443.464
600519.SH,20241104,1544.93,1550.0,1528.06,1548.2,29092.92,4481761.764
600519.SH,20241101,1521.0,1545.13,1520.8,1533.75,32283.92,4954302.212
600519.SH,20241031,1532.15,1540.0,1520.0,1527.79,29957.35,4575545.18
600519.SH,20241030,1525.0,1551.19,1523.41,1532.0,32005.74,4913175.983
600519.SH,20241029,1560.0,1580.0,1530.0,1531.62,41165.78,6368105.233
